代码,名称
600850.SH,华东电脑
600859.SH,王府井
600863.SH,内蒙华电
600867.SH,通化东宝
600871.SH,石化油服
600872.SH,中炬高新
600874.SH,创业环保
600875.SH,东方电气
600876.SH,洛阳玻璃
600879.SH,航天电子
600885.SH,宏发股份
600886.SH,国投电力
600887.SH,伊利股份
600893.SH,航发动力
600895.SH,张江高科
600897.SH,厦门空港
600900.SH,长江电力
600903.SH,贵州燃气
600909.SH,华安证券
600917.SH,重庆燃气
600919.SH,江苏银行
600926.SH,杭州银行
600928.SH,西安银行
600933.SH,爱柯迪
600958.SH,东方证券
600967.SH,内蒙一机
600968.SH,海油发展
600970.SH,中材国际
600971.SH,恒源煤电
600973.SH,宝胜股份
600975.SH,新五丰
600977.SH,中国电影
600985.SH,淮北矿业
600986.SH,科达股份
600987.SH,航民股份
600989.SH,宝丰能源
600990.SH,四创电子
600993.SH,马应龙
600996.SH,贵广网络
600998.SH,九州通
600999.SH,招商证券
601000.SH,唐山港
601001.SH,大同煤业
601002.SH,晋亿实业
601003.SH,柳钢股份
601005.SH,重庆钢铁
601006.SH,大秦铁路
601009.SH,南京银行
601012.SH,隆基股份
601016.SH,节能风电
601018.SH,宁波港
601019.SH,山东出版
601021.SH,春秋航空
601038.SH,一拖股份
601058.SH,赛轮轮胎
601066.SH,中信建投
601068.SH,中铝国际
601069.SH,西部黄金
601077.SH,渝农商行
601088.SH,中国神华
601098.SH,中南传媒
601099.SH,太平洋
601100.SH,恒立液压
601107.SH,四川成渝
601108.SH,财通证券
601111.SH,中国国航
601117.SH,中国化学
601128.SH,常熟银行
601138.SH,工业富联
601139.SH,深圳燃气
601155.SH,新城控股
601158.SH,重庆水务
601162.SH,天风证券
601166.SH,兴业银行
601169.SH,北京银行
601186.SH,中国铁建
601198.SH,东兴证券
601200.SH,上海环境
601211.SH,国泰君安
601216.SH,君正集团
601222.SH,林洋能源
601225.SH,陕西煤业
601229.SH,上海银行
601231.SH,环旭电子
601233.SH,桐昆股份
601236.SH,红塔证券
601238.SH,广汽集团
601288.SH,农业银行
601298.SH,青岛港
601311.SH,骆驼股份
601318.SH,中国平安
601319.SH,中国人保
601326.SH,秦港股份
601328.SH,交通银行
601330.SH,绿色动力
601333.SH,广深铁路
601336.SH,新华保险
601360.SH,三六零
601375.SH,中原证券
601377.SH,兴业证券
601390.SH,中国中铁
601398.SH,工商银行
601555.SH,东吴证券
601567.SH,三星医疗
601577.SH,长沙银行
601588.SH,北辰实业
601598.SH,中国外运
601600.SH,中国铝业
601601.SH,中国太保
601607.SH,上海医药
601615.SH,明阳智能
601618.SH,中国中冶
601619.SH,嘉泽新能
601628.SH,中国人寿
601633.SH,长城汽车
601636.SH,旗滨集团
601658.SH,邮储银行
601666.SH,平煤股份
601668.SH,中国建筑
601669.SH,中国电建
601678.SH,滨化股份
601688.SH,华泰证券
601689.SH,拓普集团
601698.SH,中国卫通
601699.SH,潞安环能
601717.SH,郑煤机
601727.SH,上海电气
601766.SH,中国中车
601788.SH,光大证券
601789.SH,宁波建工
601799.SH,星宇股份
601800.SH,中国交建
601801.SH,皖新传媒
601808.SH,中海油服
601811.SH,新华文轩
601818.SH,光大银行
601828.SH,美凯龙
601838.SH,成都银行
601857.SH,中国石油
601858.SH,中国科传
601860.SH,紫金银行
601865.SH,福莱特
601866.SH,中远海发
601869.SH,长飞光纤
601872.SH,招商轮船
601877.SH,正泰电器
601878.SH,浙商证券
601880.SH,大连港
601881.SH,中国银河
601888.SH,中国国旅
601898.SH,中煤能源
601899.SH,紫金矿业
601901.SH,方正证券
601916.SH,浙商银行
601919.SH,中远海控
601933.SH,永辉超市
601939.SH,建设银行
601949.SH,中国出版
601952.SH,苏垦农发
601958.SH,金钼股份
601966.SH,玲珑轮胎
601985.SH,中国核电
601988.SH,中国银行
601989.SH,中国重工
601990.SH,南京证券
601991.SH,大唐发电
601992.SH,金隅集团
601997.SH,贵阳银行
601998.SH,中信银行
603007.SH,花王股份
603008.SH,喜临门
603019.SH,中科曙光
603025.SH,大豪科技
603027.SH,千禾味业
603039.SH,泛微网络
603043.SH,广州酒家
603056.SH,德邦股份
603060.SH,国检集团
603077.SH,和邦生物
603080.SH,新疆火炬
603098.SH,森特股份
603103.SH,横店影视
603108.SH,润达医疗
603113.SH,金能科技
603118.SH,共进股份
603121.SH,华培动力
603127.SH,昭衍新药
603128.SH,华贸物流
603157.SH,拉夏贝尔
603160.SH,汇顶科技
603165.SH,荣晟环保
603180.SH,金牌厨柜
603185.SH,上机数控
603198.SH,迎驾贡酒
603220.SH,中贝通信
603225.SH,新凤鸣
603228.SH,景旺电子
603233.SH,大参林
603236.SH,移远通信
603259.SH,药明康德
603260.SH,合盛硅业
603267.SH,鸿远电子
603279.SH,景津环保
603283.SH,赛腾股份
603288.SH,海天味业
603298.SH,杭叉集团
603305.SH,旭升股份
603317.SH,天味食品
603327.SH,福蓉科技
603328.SH,依顿电子
603332.SH,苏州龙杰
603337.SH,杰克股份
603338.SH,浙江鼎力
603339.SH,四方科技
603351.SH,威尔药业
603355.SH,莱克电气
603357.SH,设计总院
603360.SH,百傲化学
603363.SH,傲农生物
603367.SH,辰欣药业
603368.SH,柳药股份
603369.SH,今世缘
603379.SH,三美股份
603387.SH,基蛋生物
603393.SH,新天然气
603421.SH,鼎信通讯
603429.SH,集友股份
603444.SH,吉比特
603466.SH,风语筑
603486.SH,科沃斯
603501.SH,韦尔股份
603505.SH,金石资源
603508.SH,思维列控
603515.SH,欧普照明
603517.SH,绝味食品
603533.SH,掌阅科技
603556.SH,海兴电力
603568.SH,伟明环保
603569.SH,长久物流
603579.SH,荣泰健康
603583.SH,捷昌驱动
603585.SH,苏利股份
603587.SH,地素时尚
603588.SH,高能环境
603589.SH,口子窖
603590.SH,康辰药业
603596.SH,伯特利
603599.SH,广信股份
603600.SH,永艺股份
603603.SH,博天环境
603605.SH,珀莱雅
603606.SH,东方电缆
603609.SH,禾丰牧业
603613.SH,国联股份
603626.SH,科森科技
603638.SH,艾迪精密
603639.SH,海利尔
603650.SH,彤程新材
603658.SH,安图生物
603659.SH,璞泰来
603660.SH,苏州科达
603666.SH,亿嘉和
603669.SH,灵康药业
603680.SH,今创集团
603681.SH,永冠新材
603686.SH,龙马环卫
603687.SH,大胜达
603707.SH,健友股份
603708.SH,家家悦
603711.SH,香飘飘
603712.SH,七一二
603713.SH,密尔克卫
603728.SH,鸣志电器
603730.SH,岱美股份
603733.SH,仙鹤股份
603737.SH,三棵树
603766.SH,隆鑫通用
603773.SH,沃格光电
603799.SH,华友钴业
603801.SH,志邦家居
603803.SH,瑞斯康达
603806.SH,福斯特
603808.SH,歌力思
603816.SH,顾家家居
603833.SH,欧派家居
603848.SH,好太太
603858.SH,步长制药
603866.SH,桃李面包
603868.SH,飞科电器
603871.SH,嘉友国际
603876.SH,鼎胜新材
603877.SH,太平鸟
603881.SH,数据港
603882.SH,金域医学
603883.SH,老百姓
603885.SH,吉祥航空
603888.SH,新华网
603897.SH,长城科技
603898.SH,好莱客
603899.SH,晨光文具
603915.SH,国茂股份
603929.SH,亚翔集成
603939.SH,益丰药房
603956.SH,威派格
603959.SH,百利科技
603982.SH,泉峰汽车
603983.SH,丸美股份
603986.SH,兆易创新
603989.SH,艾华集团
603993.SH,洛阳钼业
603997.SH,继峰股份
