InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
IF9997,20160104,3605.4,3369.4,3369.4,3369.4,436.0,459525840.0,1154.0
IF9997,20160105,3430.0,3301.6,3292.2,3354.8,811.0,819783060.0,1471.0
IF9997,20160106,3449.6,3364.6,3364.6,3413.2,790.0,807362940.0,1704.0
IF9997,20160107,3392.0,3190.4,3190.2,3190.4,222.0,221374980.0,1703.0
IF9997,20160108,3370.0,3288.4,3166.6,3260.0,1521.0,1497221700.0,2524.0
IF9997,20160111,3255.2,3204.4,3081.0,3087.0,2258.0,2163345000.0,3772.0
IF9997,20160112,3175.0,3143.0,3101.6,3133.2,3940.0,3716275680.0,6145.0
IF9997,20160113,3185.0,3152.0,3050.0,3080.8,6069.0,5712822180.0,9762.0
IF9997,20160114,3138.0,3035.2,3018.6,3113.2,11513.0,10632961620.0,16447.0
IF9997,20160115,3127.8,3109.8,2985.0,3027.8,16098.0,14783741760.0,21230.0
IF9997,20160118,3031.4,2945.8,2938.6,2990.8,2286.0,2048950260.0,11149.0
IF9997,20160119,3094.0,2989.8,2975.0,3073.6,2487.0,2266027200.0,11441.0
IF9997,20160120,3080.4,3057.0,2984.0,3010.6,2324.0,2116859640.0,11626.0
IF9997,20160121,3069.0,3009.6,2928.0,2953.2,2646.0,2383559820.0,11827.0
IF9997,20160122,2998.6,2984.0,2914.6,2974.8,2511.0,2229153900.0,12145.0
IF9997,20160125,3012.8,2982.2,2957.2,2973.0,1765.0,1580953080.0,12127.0
IF9997,20160126,2964.2,2949.8,2808.6,2820.2,2646.0,2303297700.0,12576.0
IF9997,20160127,2850.0,2850.0,2746.6,2798.0,3437.0,2883618060.0,13083.0
IF9997,20160128,2835.8,2785.0,2743.0,2753.8,2683.0,2248771620.0,13232.0
IF9997,20160129,2874.6,2761.0,2761.0,2843.2,2886.0,2448520020.0,13497.0
