InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
al9998,20160601,12530.0,12360.0,12350.0,12360.0,7882.0,490491600.0,51790.0
al9998,20160602,12510.0,12480.0,12345.0,12480.0,5230.0,325475250.0,50490.0
al9998,20160603,12470.0,12370.0,12320.0,12370.0,7840.0,484761500.0,46410.0
al9998,20160606,12435.0,12240.0,12240.0,12240.0,8760.0,540457750.0,39640.0
al9998,20160607,12290.0,12140.0,12115.0,12140.0,10340.0,629507500.0,32450.0
al9998,20160608,12255.0,12255.0,12080.0,12255.0,5830.0,355511250.0,27910.0
al9998,20160613,12265.0,12195.0,12195.0,12195.0,5060.0,309161250.0,23320.0
al9998,20160614,12300.0,12185.0,12130.0,12185.0,6450.0,393303000.0,19100.0
al9998,20160615,12350.0,12130.0,12080.0,12130.0,7150.0,437358000.0,13580.0
al9998,20160617,12155.0,12030.0,11995.0,12135.0,19682.0,1190491850.0,119602.0
al9998,20160620,12295.0,12120.0,12080.0,12265.0,29706.0,1809927750.0,111144.0
al9998,20160621,12420.0,12300.0,12255.0,12410.0,36462.0,2250875350.0,102404.0
al9998,20160622,12630.0,12435.0,12380.0,12570.0,48222.0,3023089500.0,89688.0
al9998,20160623,12620.0,12570.0,12490.0,12550.0,29042.0,1822956500.0,82882.0
al9998,20160624,12620.0,12560.0,12380.0,12405.0,31552.0,1974726100.0,76638.0
al9998,20160627,12670.0,12420.0,12375.0,12565.0,26914.0,1688419850.0,67888.0
al9998,20160628,12600.0,12545.0,12495.0,12555.0,19342.0,1214158850.0,61668.0
al9998,20160629,12625.0,12560.0,12515.0,12560.0,16642.0,1045016600.0,56508.0
al9998,20160630,12735.0,12560.0,12505.0,12720.0,20116.0,1270964700.0,48928.0
