InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
lr607,20160503,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160504,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160505,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160506,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160509,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160510,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160511,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160512,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160513,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160516,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160517,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160518,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160519,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160520,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160523,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160524,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160525,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160526,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160527,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160530,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
lr607,20160531,2730.0,2730.0,2730.0,2730.0,0.0,0.0,0.0
