InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
ag9991,20200506,3729.0,3634.0,3634.0,3705.0,79487.0,4410064080.0,180172.0
ag9991,20200507,3704.0,3700.0,3672.0,3682.0,107694.0,5954715540.0,188842.0
ag9991,20200508,3832.0,3703.0,3700.0,3814.0,277038.0,15697059210.0,233664.0
ag9991,20200511,3852.0,3800.0,3501.0,3818.0,309218.0,17685557235.0,249551.0
ag9991,20200512,3831.0,3811.0,3771.0,3795.0,198351.0,11301953445.0,250389.0
ag9991,20200513,3844.0,3811.0,3789.0,3821.0,228065.0,13049020770.0,269341.0
ag9991,20200514,3858.0,3843.0,3775.0,3831.0,266206.0,15250264815.0,279263.0
ag9991,20200515,4034.0,3825.0,3811.0,4005.0,622050.0,36714315825.0,359133.0
ag9991,20200518,4201.0,4044.0,3990.0,4201.0,575198.0,35227182150.0,104218.0
ag9991,20200519,4220.0,4207.0,4095.0,4144.0,427491.0,26603823555.0,75144.0
ag9991,20200520,4293.0,4150.0,4149.0,4277.0,270545.0,17179954935.0,70535.0
ag9991,20200521,4274.0,4233.0,4127.0,4168.0,185917.0,11737095330.0,57127.0
ag9991,20200522,4196.0,4180.0,4061.0,4104.0,182183.0,11231404905.0,49474.0
ag9991,20200525,4215.0,4162.0,4121.0,4137.0,118557.0,7432964580.0,62574.0
