InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
sm9998,20160701,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160704,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160705,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160706,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160707,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160708,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160711,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160712,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160713,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160714,5866.0,5866.0,5866.0,5866.0,0.0,0.0,0.0
sm9998,20160718,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160719,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160720,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160721,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160722,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160725,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160726,6138.0,6138.0,6138.0,6138.0,0.0,0.0,0.0
sm9998,20160727,6138.0,6138.0,6138.0,6138.0,0.0,0.0,47424448.0
sm9998,20160728,6138.0,6138.0,6138.0,6138.0,0.0,0.0,47424928.0
