InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
bb9999,20160701,95.25,93.95,91.5,93.55,34.0,1591050.0,24.0
bb9999,20160704,97.9,93.55,93.95,97.15,64.0,3074600.0,40.0
bb9999,20160705,99.8,97.15,92.05,95.9,40.0,1925600.0,42.0
bb9999,20160706,96.5,95.9,95.35,95.35,4.0,191850.0,40.0
bb9999,20160707,96.75,95.35,91.6,92.25,12.0,566450.0,38.0
bb9999,20160708,92.75,92.25,90.05,92.35,10.0,460000.0,36.0
bb9999,20160711,92.35,92.35,92.35,92.35,0.0,0.0,36.0
bb9999,20160712,92.0,92.0,92.0,92.0,0.0,0.0,36.0
bb9999,20160713,92.95,92.0,92.95,92.95,2.0,92950.0,36.0
bb9999,20160714,93.75,92.95,93.75,93.75,2.0,93750.0,36.0
bb9999,20160715,93.75,93.75,93.75,93.75,0.0,0.0,36.0
bb9999,20160718,95.35,93.75,91.55,95.35,12.0,560150.0,40.0
bb9999,20160719,95.35,95.35,95.35,95.35,0.0,0.0,40.0
bb9999,20160720,94.8,93.35,91.8,93.0,14.0,651900.0,38.0
bb9999,20160721,90.65,93.0,90.65,90.65,2.0,90650.0,38.0
bb9999,20160722,92.7,90.65,92.7,92.7,2.0,92700.0,36.0
bb9999,20160725,96.9,92.7,89.4,93.45,28.0,1303250.0,38.0
bb9999,20160726,93.45,93.45,93.45,93.45,0.0,0.0,38.0
bb9999,20160727,91.9,93.05,90.8,91.9,4.0,182700.0,38.0
bb9999,20160728,92.0,91.9,87.6,92.0,4.0,179600.0,36.0
bb9999,20160729,92.0,92.0,92.0,92.0,0.0,0.0,36.0
