InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
al1610,20160701,12425.0,12200.0,12160.0,12425.0,41914.0,2581013600.0,80564.0
al1610,20160704,12575.0,12425.0,12350.0,12385.0,55836.0,3482402650.0,86146.0
al1610,20160705,12430.0,12415.0,12135.0,12360.0,43852.0,2691579800.0,83482.0
al1610,20160706,12415.0,12365.0,12190.0,12335.0,39178.0,2412510700.0,85506.0
al1610,20160707,12470.0,12270.0,12245.0,12295.0,41272.0,2554585200.0,90344.0
al1610,20160708,12445.0,12270.0,12250.0,12395.0,29566.0,1824523150.0,92506.0
al1610,20160711,12520.0,12450.0,12385.0,12470.0,31160.0,1937703400.0,100470.0
al1610,20160712,12470.0,12460.0,12305.0,12355.0,30028.0,1860733250.0,103662.0
al1610,20160713,12565.0,12405.0,12345.0,12490.0,57984.0,3616309450.0,113476.0
al1610,20160714,12535.0,12470.0,12415.0,12525.0,30662.0,1913284150.0,112628.0
al1610,20160715,12575.0,12545.0,12470.0,12525.0,34948.0,2188696950.0,113894.0
al1610,20160718,12590.0,12560.0,12370.0,12415.0,44616.0,2779675900.0,117150.0
al1610,20160719,12415.0,12360.0,12115.0,12240.0,65072.0,4000473150.0,131950.0
al1610,20160720,12330.0,12210.0,12165.0,12280.0,54284.0,3328609200.0,122460.0
al1610,20160721,12345.0,12200.0,12145.0,12300.0,50810.0,3113494450.0,125018.0
al1610,20160722,12335.0,12295.0,12070.0,12090.0,50842.0,3101970000.0,128608.0
al1610,20160725,12155.0,12125.0,12000.0,12120.0,49008.0,2960619700.0,133372.0
al1610,20160726,12115.0,12095.0,12040.0,12045.0,35474.0,2141804400.0,134666.0
al1610,20160727,12090.0,12040.0,11950.0,12010.0,53122.0,3193479500.0,136834.0
al1610,20160728,12230.0,12030.0,11965.0,12210.0,71872.0,4356194900.0,141696.0
al1610,20160729,12260.0,12230.0,12075.0,12160.0,58652.0,3570124900.0,145106.0
