InstrumentId,TradingDate,High,Open,Low,Close,Volume,Turnover,OpenInterest
hc1609,20160701,2620.0,2568.0,2542.0,2542.0,180.0,4620720.0,160.0
hc1609,20160704,2721.0,2542.0,2542.0,2603.0,370.0,9772600.0,184.0
hc1609,20160705,2663.0,2603.0,2491.0,2590.0,612.0,15652720.0,142.0
hc1609,20160706,2619.0,2590.0,2530.0,2564.0,176.0,4527100.0,164.0
hc1609,20160707,2685.0,2564.0,2550.0,2664.0,228.0,5979940.0,154.0
hc1609,20160708,2664.0,2664.0,2579.0,2579.0,434.0,11368700.0,148.0
hc1609,20160711,2661.0,2579.0,2614.0,2632.0,12.0,316820.0,148.0
hc1609,20160712,2702.0,2632.0,2632.0,2690.0,870.0,23278760.0,224.0
hc1609,20160713,2742.0,2690.0,2667.0,2672.0,16.0,431080.0,226.0
hc1609,20160714,2668.0,2672.0,2612.0,2654.0,48.0,1269340.0,200.0
hc1609,20160715,2694.0,2654.0,2641.0,2645.0,108.0,2873940.0,154.0
hc1609,20160718,2643.0,2645.0,2502.0,2502.0,46.0,1177640.0,142.0
hc1609,20160719,2508.0,2502.0,2432.0,2432.0,94.0,2338660.0,100.0
hc1609,20160720,2490.0,2432.0,2439.0,2446.0,68.0,1678620.0,102.0
hc1609,20160721,2596.0,2446.0,2339.0,2588.0,382.0,9543980.0,118.0
hc1609,20160722,2585.0,2588.0,2476.0,2476.0,14.0,352640.0,120.0
hc1609,20160725,2594.0,2476.0,2459.0,2519.0,28.0,707500.0,124.0
hc1609,20160726,2564.0,2519.0,2509.0,2560.0,92.0,2350700.0,120.0
hc1609,20160727,2647.0,2560.0,2518.0,2518.0,136.0,3538500.0,100.0
hc1609,20160728,2635.0,2518.0,2601.0,2632.0,142.0,3710380.0,98.0
hc1609,20160729,2642.0,2632.0,2567.0,2570.0,110.0,2863360.0,108.0
